"id","youtubeChannelId","name","description","thumbnailUrl","isActive","lastFetchedAt","createdAt"
"d31a2192-c528-4978-a611-00d5d86d7652","UC2uyymWTqy-DhkB2si6Tngg","Birder Chieu","Welcome to Birder Chieu - CAT TV for Curious Cats!

At Birder Chieu, we create captivating videos designed to keep your feline friends entertained for hours! Our channel features high-quality videos of birds, squirrels, and other animals that your cat will love to watch. Combined with realistic nature sounds, these videos are perfect for keeping your cat mentally stimulated and relaxed.

🎥 Source of videos: All footage is recorded in high definition from natural outdoor settings, ensuring a real and engaging experience for your cats. 
🎶 Audio: Authentic nature sounds are used to enhance the viewing experience, from birds chirping to the rustling of leaves, creating a realistic and calming environment for your pets.
Edited by: Birder Chieu

Subscribe to Birder Chieu today and give your cats the ultimate entertainment!
","https://yt3.ggpht.com/UQyIE1_bBrpNI9LXt9x2V_6yO8bWVoe2YuS1K_tEIELJH599jhZCed6VZ-BTTRKIP9OiiReSPA=s800-c-k-c0x00ffffff-no-rj",1,1735251533078,1735247933073
"b58754a7-be27-4d58-96b9-9402ff8705ca","UC7wafFu5c8AO0YF5U7R7xFA","Birder King","The famous Cat TV channel for cats to watch. 
Happy cat, happy home.
Let me bring a smile to your cat's face. 

New video every week. #BirderKing
https://youtube.com/@BirderKing

© All rights reserved.
","https://yt3.ggpht.com/ihANVePBJuc8O-eFZWKQcdmfAe8W4BuSOHQUG7d_Nian84wVXHme1g8vfWmctMlR0LVR3VnKvFQ=s800-c-k-c0x00ffffff-no-rj",1,1735251526348,1735247338013
"b32ba2b9-ee28-4c35-b414-541891521592","UCTu_rAIoBPClp_pvwq7ELBw","Birds and Squirrels Wonderland","Happy Pet, happy home. May I bring a happy to your Pet when you busy.","https://yt3.ggpht.com/qggpN3OuiZq9Vu7GQUZpVVPbi4SJ0sDqrbaKwWMXGSzNBNsi0937ZXz38h2k_YN2UWIC4RTYFTA=s800-c-k-c0x00ffffff-no-rj",1,1735251527520,1735247339678
"0eb2bba1-07bc-442e-9a54-2d6df589cdd4","UCg27SdWT6LrAbYXssEWmF2g","Birds For Cats TV","Welcome to Birds For Cats TV - The Ultimate Birdwatching Channel for Cats! 🐦🐾

At Birds For Cats TV, we provide engaging, high-quality videos of birds and other wildlife to keep your cat entertained and stimulated. Our channel features real-life footage of birds chirping, flying, and interacting with nature—perfect for captivating your feline friend's attention and satisfying their natural instincts.

🎥 Source of videos: All videos are recorded in stunning HD, filmed in outdoor environments filled with vibrant wildlife and bird activity.
🎶 Audio: Authentic bird sounds and natural ambient noise are used to create a realistic, immersive experience for your cat.

Subscribe to Birds For Cats TV for daily birdwatching adventures your cat will love!
","https://yt3.ggpht.com/qreeVrjZabnhjyT1X9g4E_CG5aFCsHglX4woR_ZgKJby64SfXO8g7fqeUONqk8721Z02EQviXg=s800-c-k-c0x00ffffff-no-rj",1,1735251537597,1735247937584
"b4dcae34-de7f-4aa6-89c5-8acfc9258ffe","UCaUiJQyZFl69Vlj40_Gam1w","CatFlix","Welcome to CatFlix – the ultimate destination for your feline friends! Our channel specializes in creating engaging videos featuring mice and birds to keep your cats entertained and relaxed while you're away. Whether it's cat TV for cats to watch, cat TV birds, or cat TV mouse, we have it all.

Let your cat enjoy soothing bird sounds, birds chirping, and captivating bird videos for cats. With our carefully curated content, your cats will love watching relaxing scenes of birds and mice. Turn on CatFlix to provide TV for cats and ensure your furry friend stays happy and entertained.

Discover the best cat TV for cats to watch, including bird videos, bird songs, and more. CatFlix offers the perfect mix of videos for cats to watch, helping them stay engaged and calm throughout the day. Join our community and make CatFlix your go-to channel for cat entertainment!
","https://yt3.ggpht.com/FsHM67mGq9uiGdRSi26SYjjf6HwaMBTKrbq23A2ary-tIK0WdVN7scn3uTiQ-eVr6x5JpkmW=s800-c-k-c0x00ffffff-no-rj",1,1735251534484,1735247934472
"a202db95-cf1a-4217-8d09-8c910722f2a1","UCcpMbTNiLMp37EuRk0BKRwg","Cat Game Garden","Description
▽ Hello everyone ❤️!
Welcome to ❤️Cat Game Garden❤️ channel.
Here, we share interesting and engaging videos of mice's playdates
Thanks for stopping by. If you find our videos interesting and interesting, do not hesitate to like, share and subscribe to support us.

❤️Thank you and love you all so much❤️
","https://yt3.ggpht.com/QkXrSCwXjyW0k4C35sAIeTjsyeKgPZs4UConp-vcADeyBSiP1rMABzg_1OgT4IenIVZsRE8INg=s800-c-k-c0x00ffffff-no-rj",1,1735251530264,1735247930255
"f8a8e342-e454-4d2b-bd37-eba207c6ed0c","UCtuzoOIM3s2azpzz5EB5qUw","Cat game TV","Welcome to Cat Game TV - The Ultimate Entertainment for Cats!

At Cat Game TV, we provide your feline friends with endless hours of engaging and interactive content. Our videos feature high-quality footage of birds, squirrels, and other fascinating creatures that your cat will love to watch. With a blend of natural visuals and realistic sounds, our channel is perfect for keeping your cats entertained, relaxed, and mentally stimulated.

🎥 Source of videos: All videos are shot in high definition in beautiful outdoor settings, ensuring captivating and lifelike visuals for your cats.
🎶 Audio: We use natural ambient sounds, from birds chirping to gentle wind and rustling leaves, to create a soothing and immersive experience for your pets.
Edit by: Cat Game TV

Subscribe to Cat Game TV for daily feline fun!
","https://yt3.ggpht.com/-iAVtDKbm2DmaRwU2JxFLS-J34lTXtXJRbZKiY7DjprlG1Q9JB0lyVEbkrlLO29bHKrd-kQ-Hg=s800-c-k-c0x00ffffff-no-rj",1,1735251531567,1735247931560
"242e53b1-376f-47b2-a484-b63a13c3d6d6","UCwi9pjj_LAGcpmXpg3KYP0A","Four Paws TV","Welcome to Four Paws TV - your go-to channel for pet entertainment and background ambience! 🐱🐶📺

We bring you and your pets, 10 hours of uninterrupted nature without annoying mid-roll ads or music. Sit back, relax, and treat yourself and your pets to a front-row seat of backyard nature with videos featuring squirrels, deer, chipmunks, bunnies, goats, chickens, and a variety of birds, some your pets may recognize from their own backyard. 

Whether your companion is a curious kitty or a playful pup, they're sure to be mesmerized by the sights and sounds of our Cat & Dog TV. Also makes for a charming background while you work or study.  Transform your TV into a window and bring nature to your living room or workspace with Four Paws TV. 

Don't forget to hit the👍and subscribe so you don't miss a new video! Thanks for watching! 🥰

Videos are filmed in a few spots across South Eastern US, from GA to KY. 

#cattv   #dogtv   #separationanxiety  #naturesounds  #birdsounds  #relaxingvideo   
","https://yt3.ggpht.com/hDCesw3FUY6XHJUUlU7aqEMUdm8X2mCEdeg-QCRaJ2FrISi17AIBMb5NUtikr0LUmXLVcGoutAc=s800-c-k-c0x00ffffff-no-rj",1,1735251523700,1735247335079
"70f2572f-6a2b-4931-8a0a-752dcd5d713a","UCN2z60pw_XpwSjTb7DoH3WA","Paul Birder","Welcome to our channel all about creating videos for pets and animals to help them relax! Our mission is to provide a soothing and calming experience for your furry friends through the power of video.

Our team of animal enthusiasts and video experts work together to create high-quality content that is specifically designed to help reduce stress and anxiety in pets. We understand that pets can experience anxiety and fear in certain situations, and we believe that our videos can make a difference in their lives.

On our channel, you'll find a variety of videos that feature calming sounds, gentle music, and soothing visuals. From peaceful nature scenes to relaxing sounds of waves and rain, we have a wide range of content to help your pets feel more relaxed and at ease.
So, whether you have a dog, cat, bird, or any other type of pet, our channel has something for everyone. Join us today and give your pets the gift of relaxation and calmness!
","https://yt3.ggpht.com/WbKf0iHkPcP3dLyORd1ndp1WNQr9RyecHEwfX1ONk2SSW2057Lm2Cdx785eqfPppKDWmr19eFA=s800-c-k-c0x00ffffff-no-rj",1,1735251528885,1735247341204
"5b72a08c-69e4-4036-9a0f-818cc8336cec","UCPJXfmxMYAoH02CFudZxmgg","Paul Dinning","Videos for cats to watch, and cat tv. HOW IT BEGAN ~ I started my youtube channel to showcase the birds and wildlife in Cornwall UK. Although the videos were very well received they did not get very many views. I then decided to title a video ""Video for Cats"" and I was shocked and amazed at the feedback and how many views and subscribers I got. I had no idea that people even searched for videos for cats or cat tv etc. I am incredibly grateful to everyone who has watched and subscribed to my channel over the years. Thank you ~ Paul Dinning
","https://yt3.ggpht.com/2uXTz5_xgipNJiFZzPlBHP7zfo_q0jdz-9Q6-zY2nmfCVdQUMJEhuyoXC9-Vuguyi2FXPox-=s800-c-k-c0x00ffffff-no-rj",1,1735251525036,1735247336496
